RequirementText,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Component_36,Component_37,Component_38,Component_39,Component_40,Component_41,Component_42,Component_43,Component_44,Component_45,Component_46,Component_47,Component_48,Component_49,Component_50,Component_51,Component_52,Component_53,Component_54,Component_55,Component_56,Component_57,Component_58,Component_59,Component_60,Component_61,Component_62,Component_63,Component_64,Component_65,Component_66,Component_67,Component_68,Component_69,Component_70,Component_71,Component_72,Component_73,Component_74,Component_75,Component_76,Component_77,Component_78,Component_79,Component_80,Component_81,Component_82,Component_83,Component_84,Component_85,Component_86,Component_87,Component_88,Component_89,Component_90,Component_91,Component_92,Component_93,Component_94,Component_95,Component_96,Component_97,Component_98,Component_99,Component_100,Class
The system shall refresh the display every 60 seconds.,0.2960728383324563,-0.07449854107794521,0.05275040336736299,0.0761474458923579,0.3434090051379148,-0.025405025937887543,0.1615646134579574,0.0230854207245968,-0.11264650339918514,-0.05604160650615213,-0.1512093538705962,-0.0175062817795446,-0.08674222526968155,-0.10371734214884398,-0.010674933986037385,-0.1609148226569478,-0.041789538706052315,0.07286949940028914,-0.020020881921808825,-0.06890645668691518,-0.07618078138481374,-0.005295562040805765,0.1548184816946107,0.04323353376224594,-0.0214592695396277,-0.132370994464778,0.03137007084230197,0.010846270121921013,0.020761249169340426,0.07609163348461817,-0.01687649418974621,0.0335807690095722,-0.03402294918858744,-0.07591064715868406,-0.019197627701443228,-0.007766848005221982,0.056241387118922494,-0.07895817048171314,0.03290216447858431,0.0028859748816569422,-0.0136634938951988,0.04194978629786128,0.014843895544249952,-0.028493731191421956,0.07544798259314639,-0.07241816135119745,0.056541204447097294,-0.004570361714810935,0.09153787751136887,0.08213770415498602,0.016169786746824216,-0.03333802959707382,-0.012586947110076553,-0.005771184824914238,-0.11408754192284014,0.08152557984944425,-0.037015622823237726,-0.026437366714826084,-0.012987890224411732,0.07023768656950893,0.10115425173055806,0.07787171362646628,0.10981008525256558,-0.0475687412402947,0.036552103650412913,-0.04171240540957638,-0.07207974554553907,-0.08131239468259643,0.14664532930919533,0.069582691893446,0.09333180336707696,0.07521747360219519,0.03149002871620806,0.14048213753262254,0.10720043005070388,0.1658938442070208,-0.02753919542361722,0.09062331563434865,-0.016598330996400457,-0.044427992568591645,-0.026984502097127386,0.04067499328212185,-0.02832880313740857,-0.06304001004140014,0.013695405192905918,0.0008096235081407818,0.060928733515476896,-0.04177756102602352,-0.01333590497425759,0.09211752607153424,0.07172092202906968,0.012616203341362419,0.011386403042792651,0.02186614471435634,-0.06474730023967633,-0.1432522638976547,-0.011483078435029902,-0.05218669694748289,0.02407627721390139,0.09629699050957938,PE
The application shall match the color of the schema set forth by Department of Homeland Security,0.09549061169767983,0.010220964411439798,-0.026715314726338694,0.009103774186016305,-0.02653720702675615,-0.004854777681178745,-0.041936784362491444,-0.026169601769126492,-0.013951913742810322,0.010195767791555291,-0.04081349335046458,0.015275322118661767,-0.029345776046977544,-0.006722445865731423,0.0015603215282177342,0.01873844337061135,-0.016581409629017173,0.011280827881171995,0.17685705067485166,-0.07436644165936299,0.03263696904528439,0.11153366712824586,0.06813386919794534,0.09739318452264968,-0.06369972861067233,-0.009566333311974843,-0.02739576354269463,0.08288266151510996,0.011674150786855441,-0.00998067360234901,-0.06687416987156992,-0.05874162821291322,0.019699257699995275,-0.08716981494809067,-0.0007004326373194077,-0.10022914446050642,-0.06603527910187289,0.025484663587804268,-0.01828820473613758,0.020907280370639072,0.1163500141738701,-0.004296620373147915,-0.08528162221687452,-0.018013740286770608,-0.07121119746728574,0.029507915002220598,-0.02712183536327941,0.047480236094583614,-0.020052973429429,-0.022759247910334363,0.04588657084326472,-0.06756890477667865,-0.0699267925411089,0.02605978182517385,-0.03687839176709044,-0.003363645325879475,-0.04873477114976624,0.08136791087337979,0.007267960665836351,0.051587324380569774,-0.038288249060128426,-0.014971800399287217,-0.16185153333393215,-0.03722156095892483,-0.06943416884695142,-0.0187118141665647,0.09723740688129003,-0.06352211067592904,-0.07198459919066759,-0.09660222205072888,-0.02096713405482905,0.004664334864582804,-0.004386236719965622,0.07530080934505404,0.001423401774625542,-0.026427535953418416,-0.011366821774109517,0.20590446944853644,0.1012676526920131,-0.08169384131601037,0.04211223253358859,0.07800574812112847,0.05158484828349851,0.024897017009932056,0.09120207156866028,0.0006203935334312648,-0.014514141680832893,0.07605731197919255,0.021918473771312827,0.10139783228643073,0.0907532868290536,0.04780351333961485,0.06559635508951585,0.05396640581905075,-0.08277812732790035,0.10746721834075168,0.06420251357957969,-0.04272662897609045,0.0007960713220874051,-0.0015029445807911764,LF
If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,0.12732605424982726,-0.08654151526385409,-0.19641419244974034,-0.07178085897966431,-0.0562216007678156,-0.05795683301449289,-0.018153055776366018,0.12384685978410968,-0.2945920142749967,-0.16352944964851007,0.07255912410600837,0.048366220609551216,0.03711946843129795,-0.11221077819977227,0.09028211547216125,0.1092370434478379,-0.17643268666050213,-0.10023131909274126,-0.08572351746693557,0.026281590026420415,0.10204396694697059,-0.09708242686339288,-0.025248954900912255,-0.07385558075475182,-0.03405655508140386,0.03242840492041327,-0.029615641963323627,0.047325078852428176,0.048461418560166336,-0.021712266527466596,0.016413213051264003,0.08427060873021688,-0.04884393069139684,0.09054019629807154,0.0037750132075971086,-0.032734285150883335,0.002047669411084297,0.035576138668386284,-0.0014771871656511417,0.00889841667308377,-0.0667371160866614,-0.03997932851456652,0.002263715583685086,-0.04620093879446733,-0.02883946188795079,0.025420752252646783,-0.0008661054885050808,-0.024908820322073012,-0.06230819137695535,0.07009106304013117,0.013769559407042149,-0.06489853674454266,-0.04168681045192068,0.03893318134373351,-0.01582225257496316,-0.08599092751371232,-0.04133352486188544,0.03948239691635523,-0.05413191101331754,0.006338090828790855,0.00454398228319556,0.02624373930164997,-0.07369641964216112,0.04134498851455266,0.006290100430248608,0.027425632382112,0.019294392312980177,0.0354221483914454,0.009174235664641813,0.024536349200577543,0.05264792245054636,-0.06249981077029179,0.12297863030824442,0.07208790099463515,-0.04916525411678542,0.02854792631954626,-0.027157396431782062,-0.01044566033377797,0.0034715558907371232,0.04418299576515947,0.0017776186843096895,0.027342161690402482,0.025882858201017746,0.013186138830727556,0.04857147839291938,-0.09385846358226949,-0.01142323999687117,0.07866085666192715,0.04732202665241455,-0.17813829977582754,0.10252942858114367,-0.10392298149776773,-0.040182101036463996,-0.05442900355158298,-0.05412247554283247,0.0753596447761812,0.00949688425749718,-0.00582708856236025,0.03772028538846753,-0.0021994909704042085,US
The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,0.26160583340766985,0.04048909392259215,-0.05543824238159188,-0.05899514248437625,0.1402132593649682,0.06810540147063486,-0.08224013016267019,-0.030038052253155617,0.014247649415229841,0.07122145865935968,0.09970561177458341,0.046755709002811376,0.15096304228484123,0.09342583063025131,-0.13239410203654733,0.028670138799871167,0.1903907849520441,-0.05200298848038564,0.006544621405173951,0.08475382721846003,0.10119993660721219,0.006015128898294561,0.020755890910215107,-0.023257743375484193,-0.16415643497021276,-0.014067672978786187,0.00042308016547538876,0.05042755258747189,0.017853515013264404,-0.023998296291596784,0.0615893180718186,0.0767432846075322,0.047144200394993986,-0.08291297024057206,0.03942478513309096,0.03896306895530837,0.0008988537504848945,-0.0001632673955113198,0.012749826251455248,-0.0798870285113911,-0.040430770437494434,0.0698395691689534,0.06638371909652681,0.006991611704687479,-0.007176248330140428,-0.015608664730150034,-0.02861338861663284,-0.001426671708971327,0.059245381724470476,-0.018116580438752396,0.04258271220765418,0.07174836085544967,0.018573792285733408,0.012361583264956748,-0.05483612885942915,0.04961535758628774,-0.06983811535689544,0.037755533422232104,-0.00302206607110265,0.01700980057806801,0.06909571639717677,0.01375956188336156,0.023731963305545903,-0.049541577155197,0.017020138523461632,0.017570662215356418,0.01745359462431327,0.04904643342603803,-0.018595125113994932,-0.05758963923289276,0.04981047259363981,0.03769019587528179,0.055159560651154085,-0.07193178643422693,-0.07371450027655763,-0.08589639458311758,0.0035887669006875525,-0.11854517355614293,0.07120774807623126,-0.00027953042068533124,-0.06712405524507023,0.04770650386720372,0.03885632626122917,-0.07388912630382842,-0.09858008489735466,0.06692802037873855,-0.09753127858114453,-0.05053381719077691,0.07147206888111218,-0.010133184084717951,0.007867643070908556,-0.060366452505081825,0.04139061343095007,0.0014439842500851264,0.007286589665044078,0.06944079107800787,0.0830472055688362,-0.037852110769688696,0.08837678128591452,-0.054146571385922555,A
If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,0.18049036036527322,-0.0978542584018765,-0.2110826423147118,-0.05813403786404129,0.02348020483059177,0.0009561578901977233,0.007990585352878742,0.08746162402762268,-0.23631536146413282,-0.15110140051771354,0.04935863310918707,0.18365016507027504,0.058021042327514226,-0.08056106291836035,0.061507711172284825,-0.022253657742839352,-0.1037751958700277,-0.048514877316605205,-0.10355789521937948,0.02659523464925048,0.0142140225886404,-0.024349234736451876,-0.1137405400037338,-0.11717130092062845,-0.053405989322664965,0.1531945594134855,0.0020898403085316576,0.06338162143784504,0.049022765862266296,-0.021171733085559412,0.08885923003046148,0.003406547845931202,-0.0642868080068334,0.06821594190880174,0.03245544599473689,-0.0767682981932271,0.020149515932879065,0.042431244279902115,-0.026032090431372668,-0.03739177785465857,-0.01923367966558602,-0.041853111539970754,-0.03412433678304159,-0.05102834367252391,-0.08128326508278215,0.14703201029352178,-0.01997430347974366,0.016825288980873,-0.16037021109161315,0.032671460888184116,0.03945840814166725,-0.13533713166052996,0.04581727768041226,0.016876726754560895,0.1026448439721793,-0.097120403573381,-0.009230741208033712,0.10227761556934359,-0.19278053006492363,0.07173540378899532,-0.005227582920423831,-0.04995679775432295,-0.0923646987000667,0.08609363470489789,0.04952216933845889,0.039060444080000895,0.1133782244509865,0.1534929523782474,-0.06351502186376826,0.03324778675336211,0.07072741897904176,-0.011363391815820143,0.04004262876283821,0.10240360854277322,0.07386453589101412,0.01439725562389988,-0.06492867113469591,0.01810005473569084,-0.028688312775181357,-0.0060389754056134354,-0.005716560904696483,0.09533635514951785,-0.013807394383672735,-0.04290187532759459,0.0353422233131159,-0.073386750401038,0.005259152553792295,0.09814354119423348,0.07732626509756334,-0.0882281785259172,0.06372543215561938,-0.11170085724316238,-0.05538285423444392,-0.03728280311445815,-0.012694416882054768,0.06438741433639719,-0.004492910322888727,-0.009509044847537514,0.05594407373737417,-0.023213130447504116,US
The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,0.3285765443478494,0.08785485315745334,-0.2822301143963294,-0.07620498003567507,-0.1496354906920837,-0.15999614342662444,-0.15088631782059186,-0.15915647428267637,0.08622265023291574,0.12999827403271438,-0.10973975165936609,0.017262517256511095,0.044154964909610656,-0.1720972213963491,-0.18995812853824307,-0.23850112407548962,0.12178267824593557,-0.2165543327906581,-0.005096213831953612,0.02112760184299343,-0.055778308979704996,-0.11175913705360513,0.00025776941219417065,-0.03347752247847343,0.05682582230708975,0.029448009787462495,-0.1438025371878092,0.03613595732749418,-0.02846776451297905,-0.04971903887017705,-0.01799780541885332,-0.039510391127231155,-0.10197372700409264,0.10556196852836408,-0.04004318560103111,0.03449250249030103,-0.016920584715208034,0.08741746756571972,-0.053786315650828524,-0.0150891871440883,-0.01876000610760791,0.03461469490006101,0.03281151890768981,0.11259133065056003,0.05498039878609402,-0.05287614588893594,-0.009545764316000299,0.009796285446110248,-0.01198142916893211,0.04981948133680002,-0.06836874166982916,-0.07881173952351321,0.00026145416679966907,0.024957541443614735,0.01830833378986265,0.02533136038711528,-0.023026991623111073,0.018926297368908183,0.023413236109333584,0.006401552154072721,0.024224701452393138,-0.012644991284491664,0.029073100183114625,-0.038315346367393026,-0.03879114784151549,-0.050478021688822115,0.008405769312705228,-0.106111716856468,0.007411550062822722,-0.002958774375176748,0.060091564711852535,0.02495007726263325,-0.015679131535472596,-0.01575900023495616,0.03223591124156176,0.06425243447069684,-0.056833757348753004,-0.06084048620035438,0.020576885985553114,-0.016603915131655038,0.033887031555754475,0.029107555739384446,-0.043768555467926996,0.035303784095120846,0.01711820616621571,-0.0012056685414596723,0.0983595896686183,0.031886722804358926,-0.02967958552651779,-0.05512345841947835,-0.07264908645815682,0.018498021127873552,-0.04580205817197714,0.018543982005861808,-0.06405391405064141,-0.048676379700810714,-0.030909004651203376,0.06311135835478236,0.017255402564067976,-0.06346651978746794,SE
The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,0.2747757731874275,0.1924085624270454,-0.12321466977640849,0.06839077656481107,0.06920996390927082,-0.006343419323159393,0.04484396478872848,0.01655869807794802,-0.044954883620927394,-0.08553611987860658,-0.0036352231894645343,-0.023504225180691618,-0.12504896749909922,-0.07918315778762541,-0.07513749593947334,-0.2523803175349169,-0.12516751798184628,-0.12379466590059951,0.036083303211345966,-7.282628220954394e-05,0.01243297185040583,-0.042286579273152256,-0.08660058437428535,-0.04416885402046479,-0.11668666958468472,-0.013764799975425106,0.0194583615056187,-0.018426496074250988,-0.04053363304543789,0.030095411186948424,0.032515088455233765,-0.07437192375940642,-0.07129377403978245,-0.01949094126507486,-0.012157655239427332,0.014678017945596195,0.06695938310712675,-0.0033585864508228966,-0.02070049652279294,0.005991616771989316,0.009930942604722886,-0.00532609379553454,0.07860271294075671,-0.07036870169706383,0.01806379392202597,0.015703014099773142,-0.02811712412176137,0.013260358812901062,-0.11339343865391072,-0.10807492570694832,0.013985638456819873,-0.15237576828143776,-0.05985454594191498,-0.15842578970702514,0.06951244130281664,-0.06033346269200268,0.030609688307648944,0.12491101166837694,0.004616112740648059,0.04734632917629482,0.00011231478029009173,0.01527865762650056,-0.024110739435214287,-0.05229234849864774,0.009935251452100528,0.04284837355411256,0.14309300914274437,0.1837054007821687,-0.023723544690394806,0.029078006179308696,-0.00047515239878978197,-0.015970465580738384,0.06871606930382643,0.03494538616856505,0.08302536900819027,-0.02421710734693422,0.06490579897496893,-0.04951063484521491,-0.018427943037600814,-0.01246027409279607,-0.03683273906034623,0.005340383262060101,-0.06588858984780177,0.04310389433971026,-0.0580355229668982,0.09735339076915535,-0.039435489299256714,0.014192220528437265,0.13056987605661657,-0.02314199915436146,-0.024798236417571298,-0.026918926832905418,0.11420835628108078,-0.13275919030679723,-0.030742887739503937,-0.07612263809702374,0.01605209644969393,-0.100051159897391,0.022986680294145887,0.0079884208924325,US
The product shall respond fast to keep up-to-date data in the display.,0.20861150446093857,0.14454783606661284,-0.06199068305688088,-0.007469970267372855,0.15296605710105435,-0.12250728527988694,0.11434260350266826,0.10130359437867922,-0.13384695065071733,-0.09652084382366723,-0.08389140389270792,-0.02912414691113962,-0.028882286145751637,-0.07331904836069908,0.010607580604826219,0.07367878635034059,-0.06818863272663779,-0.11533709857940602,0.040000320638662476,-0.08417963050803617,0.0061130690296111265,0.035777344381156484,-0.0417034725000808,-0.10602989571118082,0.0025485538907283577,0.024703471728123125,0.0763537051626488,0.09502837887693824,0.023780679592716205,-0.02346134759351436,0.04954848795695925,0.06611254808404729,0.056910393374059065,-0.0007639393326995224,-0.03512834332344352,0.008133686937599718,-0.004378763830166221,-0.03087669844310971,-0.01926395939068347,0.020002063643719925,-0.01695189487920046,-0.0031541541495266213,-0.0318584340607643,-0.030708886396858787,0.06172319334064734,-0.0970207928638373,0.07364833017345326,0.027162005750823223,0.003411854726680371,0.009626895727319945,0.023852813639865283,0.049992038308564274,-0.045015497302103726,-0.0035440817130968603,-0.06713054653308624,0.06567644397695621,-0.13595676275414026,0.005576151228643366,0.11818239555244658,-0.06181134695086593,0.03137758388018344,0.016407261223166172,0.06301257848696051,-0.07491800637619651,-0.03334103559275513,-0.09278093728999381,0.12842361512733003,0.08468931131203353,0.01929016735881188,-0.05039440485409766,0.0032314677655504703,-0.05742067263058667,-0.033811731334985426,-0.06492149518275966,-0.07371299809222537,0.06495207103833582,-0.05968600998639847,-0.040538017711429675,0.007355231397271799,0.009879516410736488,0.04925846441083506,-0.06280953479041267,-0.056859771422696194,-0.03716974632976003,0.11551541382951806,0.017155959403615806,0.02329309356613536,-0.006368624341548097,-0.017660444342327993,-0.11835454167657325,0.12311315005337295,-0.10016685431285503,0.05692983358318161,-0.09142641526092524,-0.09565466711240753,-0.09161745695981062,-0.058921759474746725,0.07255713053883542,-0.041060210713851686,0.11928040969670696,PE
The system shall have a MDI form that allows for the viewing of the graph and the data table.,0.23787057986475119,-0.0593582916884236,-0.09857228048162012,0.011472573968366453,0.07631655236771942,-0.21011029645238108,-0.08176087394428583,0.018502311556628695,-0.15750118240648772,-0.08759435841143876,-0.1220878381105363,-0.025240771189211413,0.09155178283665613,-0.12415179049702764,0.025963300259481455,0.21177569223525386,-0.07403657304774451,-0.09449962773261,-0.18785801635746896,-0.05853518656073596,-0.10857194975705528,0.10785245539296184,-0.012746233963570098,-0.06408135057652999,0.022674576464193023,0.008956972229150977,0.07624910100616819,0.055774106931111664,-0.04022158924366186,-0.04470196143021369,0.019010263302220012,0.05630692849110782,-0.0024273432758132596,-0.07385428251224459,0.030487637939611113,0.06258450399927713,0.0048191684917754385,-0.04115243454520925,-0.04107022598675658,-0.05347165515431739,-0.011096733191315914,0.0799882695410055,-0.02576131634855732,-0.06637407223070335,-0.06703948884101535,0.15701684608393987,0.01082216953275997,-0.003185091157854222,-0.1305523845209404,-0.0004907556496593531,0.06358850828285288,-0.14410064989147917,0.002080044212219987,0.004424820401713977,-0.016619311956360506,-0.07916063964263956,0.05244560071453744,0.060324477846447025,-0.04516957779516884,0.049492276991109155,-0.05219174321009684,-0.00017852763115384918,-0.04667982635061422,0.006161642744825488,0.04248021993217852,0.046266258213654265,0.04119205317067959,-2.5413488915251338e-05,-0.04471969101821212,0.006108697072691685,0.0022953159540980705,-0.03506852916594122,0.01527551601595372,0.01119162679604711,-0.02636184901965304,-0.05666639398370049,-0.05468270966862119,-0.009950657994543161,0.024921294131498965,0.04160753108091056,-0.017207051718412456,-0.0005038842107866082,0.034801145699985034,0.029135818483041753,-0.04209673667136066,-0.03940204038483387,-0.017039961180059644,-0.03573841709844297,-0.034347343111108104,-0.0519131219769062,-0.030406199893248016,-0.036648804961845714,-0.04287526990809411,-0.053016809051794275,0.007136502510372544,-0.07296188952853591,-0.03418708905526719,-0.01615247892446623,-0.004661983927644996,-0.014994909536011078,F
The system shall display Events in a vertical table by time.,0.27287262678211277,-0.05191248410308883,0.021497468941987192,0.08090279700211611,0.4285592100552663,-0.07010294917297412,0.17601117677991174,0.061477874926002374,-0.061341682564250335,-0.06888718347043186,-0.13258576008979356,0.10682301428473481,0.05647926583199292,-0.04686974567153502,-0.037894964445691605,-0.10398276618847434,-0.0011387709688095533,-0.016291673179512453,-0.008763329809925726,-0.06037266952157839,-0.08006511102100974,0.09924284831600477,-0.13035481362927306,-0.08148618747330061,-0.09800722392314315,0.10982437943329047,0.11337590272993339,0.05029110093664556,0.07020847696262433,0.017160843137189505,0.09397500201236222,-0.032895002334792846,-0.09374416087973297,-0.012653191373076205,0.01572569607508483,-0.15019318394034795,0.0643425409598185,0.04829121479427073,0.0059963976313083,-0.0309716324812186,0.021242382126952203,-0.05617699853199347,-0.06485488393983779,0.006624991345633067,-0.02795208141286207,0.07856188010212568,-0.02941163425367193,0.07329605821605402,-0.12031729458121587,-0.06493281637517141,0.05178929394010025,-0.15727227567401952,0.030967464908746772,-0.037851030535440755,0.1286951003351819,0.006745059311532589,-0.003980943986756799,0.06243393326220852,-0.21265376326697022,0.11947050762054512,-0.026665487810424902,-0.036730584168494486,-0.008690718163423119,0.02961102088551685,0.008122333669364601,0.030518893164795245,0.12742377822500112,0.06765951538553423,-0.07253031668770527,-0.030885919373608836,0.08178791905692501,0.09536405323109932,-0.02736428046920128,-0.005257715580864308,0.08561937664028446,0.022540986726334877,-0.019078334383040928,0.005171471395306968,0.0076682807064456454,0.04961539673450162,0.02982466067896833,-0.06526248389511163,0.0014555891395002483,0.05020131510150182,-0.004405481529357977,0.03314188643784216,-0.06259062381973794,-0.11851879170403083,0.009562816903153758,0.059906595786312494,-0.06990230665718651,0.036272615429806594,-0.0024171546583796506,-0.11192662251170507,0.04167173267363153,-0.01831982175326318,-0.06756041342252898,-0.04514109338446473,-0.02549284287136061,0.024676590316101754,F
